symbol,epoch,slug,orders_placed,orders_filled,orders_open,allocation_usdc,total_proceeds_usdc,yes_filled,no_filled,yes_unfilled,no_unfilled,pnl_if_yes_wins_usdc,pnl_if_no_wins_usdc,epoch_end_utc
eth,5m,eth-updown-5m-1775110200,2,2,0,100.0,45.0,100.0,100.0,0.0,0.0,-55.0,-55.0,2026-04-02T06:15:00Z
eth,5m,eth-updown-5m-1775109900,9,9,0,100.0,102.7,100.0,100.0,0.0,0.0,2.7,2.7,2026-04-02T06:10:00Z
eth,5m,eth-updown-5m-1775109600,4,4,0,100.0,102.7,100.0,100.0,0.0,0.0,2.7,2.7,2026-04-02T06:05:00Z
eth,5m,eth-updown-5m-1775109300,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-02T06:00:00Z
eth,5m,eth-updown-5m-1775109000,1,1,0,100.0,3.0,0,100.0,100.0,0.0,3.0,-97.0,2026-04-02T05:55:00Z
eth,5m,eth-updown-5m-1775108700,5,5,0,100.0,103.4,100.0,100.0,0.0,0.0,3.4,3.4,2026-04-02T05:50:00Z
eth,5m,eth-updown-5m-1775108400,2,2,0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,2026-04-02T05:45:00Z
eth,5m,eth-updown-5m-1775108100,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-02T05:40:00Z
eth,5m,eth-updown-5m-1775107800,3,3,0,100.0,101.9,100.0,100.0,0.0,0.0,1.9,1.9,2026-04-02T05:35:00Z
eth,5m,eth-updown-5m-1775107500,4,4,0,100.0,104.3,100.0,100.0,0.0,0.0,4.3,4.3,2026-04-02T05:30:00Z
eth,5m,eth-updown-5m-1775107200,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-02T05:25:00Z
eth,5m,eth-updown-5m-1775106900,2,2,0,100.0,101.0,100.0,100.0,0.0,0.0,1.0,1.0,2026-04-02T05:20:00Z
eth,5m,eth-updown-5m-1775106600,7,7,0,100.0,102.9,100.0,100.0,0.0,0.0,2.9,2.9,2026-04-02T05:15:00Z
eth,5m,eth-updown-5m-1775106300,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-02T05:10:00Z
eth,5m,eth-updown-5m-1775106000,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-02T05:05:00Z
eth,5m,eth-updown-5m-1775105700,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-02T05:00:00Z
eth,5m,eth-updown-5m-1775105400,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-02T04:55:00Z
eth,5m,eth-updown-5m-1775105100,11,11,0,100.0,103.1,100.0,100.0,0.0,0.0,3.1,3.1,2026-04-02T04:50:00Z
eth,5m,eth-updown-5m-1775104800,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-02T04:45:00Z
eth,5m,eth-updown-5m-1775104500,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-02T04:40:00Z
eth,5m,eth-updown-5m-1775104200,4,4,0,100.0,102.7,100.0,100.0,0.0,0.0,2.7,2.7,2026-04-02T04:35:00Z
eth,5m,eth-updown-5m-1775103900,2,2,0,100.0,101.0,100.0,100.0,0.0,0.0,1.0,1.0,2026-04-02T04:30:00Z
eth,5m,eth-updown-5m-1775103600,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-02T04:25:00Z
eth,5m,eth-updown-5m-1775103300,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-02T04:20:00Z
